peso_mayer,peso_fng,peso_funding,b1,b2,b3,sortino_is,calmar_is,sharpe_is,max_dd_is,retorno_anual_is,exposicao_media,exposicao_media_abs,n_rebalanceios,n_recaps,descartada,motivo_descarte
0.0,0.0,1.0,0.5,1.0,1.5,-0.7637507063758501,-0.2518471806401591,-0.43790293429358707,-0.7547255498488339,-0.19007550188652267,-0.008999561861544901,0.2832002473221609,776,0,False,
0.0,0.0,1.0,0.5,1.0,2.0,-0.6673480914544039,-0.2163355090004636,-0.34769519489188394,-0.6892211840741106,-0.14910301567057493,-0.01126095355943773,0.2670935760811835,762,0,False,
0.0,0.0,1.0,0.5,1.0,2.5,-0.7628964261817334,-0.2297257469846181,-0.44552715860972564,-0.7153532381907975,-0.1643350570012464,-0.012623596979618311,0.2584580981515634,756,0,False,
0.0,0.0,1.0,0.5,1.0,3.0,-0.7839763588079591,-0.2354830889541946,-0.47164996500112516,-0.6942529145690545,-0.1634848208381735,-0.011766531633026977,0.2532678425940106,739,0,False,
0.0,0.0,1.0,0.5,1.5,2.0,-0.6595161950016875,-0.21044640064251993,-0.359487427035439,-0.6367786350488656,-0.13400777175209055,-0.007549298796731605,0.22904207931758025,709,0,True,exposicao<25%
0.0,0.0,1.0,0.5,1.5,2.5,-0.7898129114767526,-0.23044111551976082,-0.49584601198751355,-0.6671438097302475,-0.15373736372634128,-0.008940321953014417,0.22035770472957614,716,0,True,exposicao<25%
0.0,0.0,1.0,0.5,1.5,3.0,-0.822743852570789,-0.23728374252620305,-0.5361134942629366,-0.6482980642868053,-0.15383059096646612,-0.008017368848914772,0.2151448379551211,711,0,True,exposicao<25%
0.0,0.0,1.0,0.5,2.0,2.5,-0.6378152530163671,-0.1868698720550481,-0.3603319189036466,-0.5964531317412352,-0.11145912041531736,-0.011800765634448812,0.2046240418845476,661,0,True,exposicao<25%
0.0,0.0,1.0,0.5,2.0,3.0,-0.6765493757934854,-0.20426887593458826,-0.4033048404013012,-0.5516820208778002,-0.11269146627803028,-0.01092894528617323,0.1994562580580724,663,0,True,exposicao<25%
0.0,0.0,1.0,0.5,2.5,3.0,-0.8493523778532045,-0.2243249001824708,-0.5756900647303859,-0.6137233024455246,-0.13767341856074866,-0.012360212859008667,0.19104540919956134,630,0,True,exposicao<25%
0.0,0.0,1.0,1.0,1.5,2.0,-0.5115947754581675,-0.1545925911457433,-0.24750575892260265,-0.581370466964019,-0.08987556690357845,-0.004207285664150708,0.13626137151679724,468,0,True,exposicao<25%
0.0,0.0,1.0,1.0,1.5,2.5,-0.6674653104485104,-0.1794567120852219,-0.3989537022781236,-0.6163714089926537,-0.11061198648115722,-0.005596079289059901,0.12757712052135312,475,0,True,exposicao<25%
0.0,0.0,1.0,1.0,1.5,3.0,-0.7066760501185618,-0.19475189936898157,-0.4447776455061448,-0.5683952320436993,-0.11069605103278346,-0.004672579740326738,0.12236448357532774,470,0,True,exposicao<25%
0.0,0.0,1.0,1.0,2.0,2.5,-0.47893581112054484,-0.12797454260164565,-0.24377124014550264,-0.531157843817585,-0.06797468211183177,-0.007762670300891442,0.11130057104550582,443,0,True,exposicao<25%
0.0,0.0,1.0,1.0,2.0,3.0,-0.5256617259196985,-0.1457055773411115,-0.2918344124836589,-0.4752756644316255,-0.06925031508219037,-0.006890209272210523,0.10613318770238096,445,0,True,exposicao<25%
0.0,0.0,1.0,1.0,2.5,3.0,-0.746228426126733,-0.1809532733660708,-0.4998758288493679,-0.518390148693903,-0.09380439428688592,-0.008411358328218656,0.0976240411133604,426,0,True,exposicao<25%
0.0,0.0,1.0,1.5,2.0,2.5,-0.4791146011432091,-0.1277530604816349,-0.2551483865378969,-0.49336406725191095,-0.06302876952309877,-0.0037294428952944513,0.07287229426469014,273,0,True,exposicao<25%
0.0,0.0,1.0,1.5,2.0,3.0,-0.5338255268228366,-0.1478753598599926,-0.31243892844108734,-0.4349587462617551,-0.06431968112770825,-0.0028563982847133215,0.06770458931907246,275,0,True,exposicao<25%
0.0,0.0,1.0,1.5,2.5,3.0,-0.7975266882187647,-0.1927003033726835,-0.573365307626924,-0.4717587528891679,-0.09090805480046149,-0.0044207400436441745,0.05914392972330531,269,0,True,exposicao<25%
0.0,0.0,1.0,2.0,2.5,3.0,-0.4734981495513854,-0.1333613649459663,-0.3019169054113066,-0.3649679313488291,-0.04867262148618556,-0.006545054417859985,0.042899571542707786,159,0,True,exposicao<25%
0.0,0.2,0.8,0.5,1.0,1.5,-0.5447225760628621,-0.20496797390680618,-0.2212072072127415,-0.744907621817305,-0.1526822059916304,-0.03428684441512133,0.34382288247775245,777,0,False,
0.0,0.2,0.8,0.5,1.0,2.0,-0.5624992229916321,-0.20473421212964468,-0.25822398814384445,-0.7260084715983095,-0.14863877243212742,-0.03160781819182305,0.32154585223291166,736,0,False,
0.0,0.2,0.8,0.5,1.0,2.5,-0.6230477331074868,-0.21185998736823877,-0.3306299107099563,-0.7441324342250104,-0.15765188811520747,-0.03199654382598526,0.311518309412909,722,0,False,
0.0,0.2,0.8,0.5,1.0,3.0,-0.6130945888377267,-0.20968507475625384,-0.3233152422941875,-0.7268472064298952,-0.15240901081662683,-0.030002291527758615,0.30646299857821474,700,0,False,
0.0,0.2,0.8,0.5,1.5,2.0,-0.309385123123383,-0.10652832122049548,-0.07217879970903376,-0.5955870016502488,-0.06344688342654947,-0.0219670244928157,0.2639454698426367,665,0,False,
0.0,0.2,0.8,0.5,1.5,2.5,-0.37968480422200285,-0.12190331668454375,-0.14457927917618515,-0.590205807331201,-0.07194804544015221,-0.022136408900350287,0.25365575045745886,671,0,False,
0.0,0.2,0.8,0.5,1.5,3.0,-0.37031759116155477,-0.12030799970184632,-0.1397083967581938,-0.5659729651878693,-0.06809107532707526,-0.020081347903105614,0.2484623791548844,663,0,True,exposicao<25%
0.0,0.2,0.8,0.5,2.0,2.5,-0.31699797603445606,-0.09687281441774127,-0.10931093866331161,-0.5712838983847236,-0.05534187906806709,-0.02063795805815153,0.23217967563718225,583,0,True,exposicao<25%
0.0,0.2,0.8,0.5,2.0,3.0,-0.30523319830581336,-0.09411875392344816,-0.10324888507102793,-0.5462878329233801,-0.05141593011828938,-0.018553976744239045,0.22697322621984764,580,0,True,exposicao<25%
0.0,0.2,0.8,0.5,2.5,3.0,-0.43779908364490744,-0.12468543924239568,-0.2253793703288508,-0.5616129252044375,-0.070024954263322,-0.01879481459450308,0.21737228970356826,536,0,True,exposicao<25%
0.0,0.2,0.8,1.0,1.5,2.0,-0.639273688141213,-0.20351084152609109,-0.33945143153462054,-0.5965076886842264,-0.12139578170091048,-0.026631967697452217,0.1677999372983251,510,0,True,exposicao<25%
0.0,0.2,0.8,1.0,1.5,2.5,-0.748151501350729,-0.21408827208513098,-0.4581543957718621,-0.6043359777911281,-0.1293812452441807,-0.026801513708328614,0.15751214987283,516,0,True,exposicao<25%
0.0,0.2,0.8,1.0,1.5,3.0,-0.754074997253779,-0.21602607762848147,-0.46371795512327246,-0.5821298412918956,-0.12575522628477864,-0.024745927993933166,0.1523191627237297,508,0,True,exposicao<25%
0.0,0.2,0.8,1.0,2.0,2.5,-0.7479825194713817,-0.20274390760991992,-0.4770214615353647,-0.5750501065602865,-0.11658790567553334,-0.023361836877691288,0.13440977043547658,460,0,True,exposicao<25%
0.0,0.2,0.8,1.0,2.0,3.0,-0.7578537591208467,-0.2041509422471101,-0.4865659868068164,-0.5530605165175008,-0.11290782556672119,-0.021277250795563085,0.12920362523978382,457,0,True,exposicao<25%
0.0,0.2,0.8,1.0,2.5,3.0,-0.9493373329758475,-0.22711109605849317,-0.7038594718269707,-0.581955850609758,-0.13216863108963484,-0.021765062962613477,0.11922292750604006,429,0,True,exposicao<25%
0.0,0.2,0.8,1.5,2.0,2.5,-0.32024130208559265,-0.10464746011929003,-0.14064361832995448,-0.3763885787974808,-0.03938810878906562,-0.013633580878209222,0.07770034245966023,289,0,True,exposicao<25%
0.0,0.2,0.8,1.5,2.0,3.0,-0.3098354908024846,-0.10414664530549154,-0.13587195544851083,-0.3396354945459571,-0.035371897383633,-0.011548386839115578,0.0724947381235735,286,0,True,exposicao<25%
0.0,0.2,0.8,1.5,2.5,3.0,-0.5539462587500908,-0.15833563365403108,-0.3651229215690433,-0.35256514717289333,-0.05582362598194679,-0.01196511992033748,0.06238828068986436,278,0,True,exposicao<25%
0.0,0.2,0.8,2.0,2.5,3.0,-0.43388877824085254,-0.12791167318646876,-0.2848294971804971,-0.3071765694846962,-0.03929146896646707,-0.007846678415191218,0.03871695606139788,155,0,True,exposicao<25%
0.0,0.4,0.6,0.5,1.0,1.5,-0.6902529027271956,-0.28169063382914056,-0.3448222012968779,-0.7953446600729718,-0.22404114140857778,-0.047578945130885564,0.3879421076425599,746,0,False,
0.0,0.4,0.6,0.5,1.0,2.0,-0.7359355277154839,-0.26205587420824406,-0.4118570902725533,-0.7771826746053924,-0.20366528521321736,-0.03941444885049984,0.3572241997052085,720,0,False,
0.0,0.4,0.6,0.5,1.0,2.5,-0.7380335063153215,-0.257981688929127,-0.42283419175894693,-0.7506405428626756,-0.19365151502638978,-0.03740182535808208,0.3461005181245458,677,0,False,
0.0,0.4,0.6,0.5,1.0,3.0,-0.7263328623202963,-0.25525603740953196,-0.40946681687938674,-0.7486573931963119,-0.19109931956464044,-0.03974689761009804,0.34698177068648123,645,0,False,
0.0,0.4,0.6,0.5,1.5,2.0,-0.7167646050987476,-0.24840552381696707,-0.41552207591901746,-0.6942712316745758,-0.1724608089751739,-0.033235349474168535,0.29013355789374806,641,0,False,
0.0,0.4,0.6,0.5,1.5,2.5,-0.7122713573093615,-0.2393684277297167,-0.42501559504920094,-0.6585352525984035,-0.15763254801907167,-0.02948913430481621,0.2770506527444766,620,0,False,
0.0,0.4,0.6,0.5,1.5,3.0,-0.7304392167336261,-0.24075504303674042,-0.44565892345997743,-0.667624378975949,-0.16073393609273168,-0.026563723802159343,0.2726139382884813,602,0,False,
0.0,0.4,0.6,0.5,2.0,2.5,-0.7201318853160323,-0.2116389842047098,-0.4387233382260879,-0.6017218751682751,-0.12734780643436694,-0.022904633351381497,0.24644203785749413,540,0,True,exposicao<25%
0.0,0.4,0.6,0.5,2.0,3.0,-0.7499139344765281,-0.2137487155834256,-0.469904712231298,-0.6141418575954235,-0.13127203324704084,-0.01935335283766318,0.24132271426070445,537,0,True,exposicao<25%
0.0,0.4,0.6,0.5,2.5,3.0,-0.7870389087890722,-0.21234853040083698,-0.5184254067233797,-0.6039843783247754,-0.1282551951223292,-0.017421430579732052,0.23064010399850451,471,0,True,exposicao<25%
0.0,0.4,0.6,1.0,1.5,2.0,-0.5863541010116591,-0.19769516255003608,-0.31146505829506277,-0.6682224434808247,-0.13210434458352394,-0.04334896437025576,0.1944291320400909,511,0,True,exposicao<25%
